timestamp,price,date
1709218800,107.39,03-01-00
1709222400,107.39,03-01-01
1709226000,95.3,03-01-02
1709229600,87.89,03-01-03
1709233200,0.0,03-01-04
1709236800,0.0,03-01-05
1709240400,0.0,03-01-06
1709244000,111.4,03-01-07
1709247600,0.0,03-01-08
1709251200,111.67,03-01-09
1709254800,109.57,03-01-10
1709258400,0.0,03-01-11
1709262000,99.15,03-01-12
1709265600,0.0,03-01-13
1709269200,95.91,03-01-14
1709272800,95.91,03-01-15
1709276400,98.25,03-01-16
1709280000,100.21,03-01-17
1709283600,128.34,03-01-18
1709287200,109.57,03-01-19
1709290800,109.83,03-01-20
1709294400,109.83,03-01-21
1709298000,110.35,03-01-22
1709301600,112.19,03-01-23
1709305200,112.19,03-02-00
1709308800,138.5,03-02-01
1709312400,99.48,03-02-02
1709316000,95.38,03-02-03
1709319600,91.24,03-02-04
1709323200,91.24,03-02-05
1709326800,134.65,03-02-06
1709330400,99.48,03-02-07
1709334000,135.15,03-02-08
1709337600,135.71,03-02-09
1709341200,104.14,03-02-10
1709344800,138.5,03-02-11
1709348400,95.88,03-02-12
1709352000,95.22,03-02-13
1709355600,95.88,03-02-14
1709359200,99.48,03-02-15
1709362800,100.55,03-02-16
1709366400,250.6,03-02-17
1709370000,136.96,03-02-18
1709373600,168.45,03-02-19
1709377200,225.05,03-02-20
1709380800,225.05,03-02-21
1709384400,168.45,03-02-22
1709388000,207.57,03-02-23
1709391600,247.14,03-03-00
1709395200,321.47,03-03-01
1709398800,100.21,03-03-02
1709402400,82.66,03-03-03
1709406000,82.66,03-03-04
1709409600,82.66,03-03-05
1709413200,99.15,03-03-06
1709416800,165.83,03-03-07
1709420400,169.56,03-03-08
1709424000,95.99,03-03-09
1709427600,107.39,03-03-10
1709431200,100.21,03-03-11
1709434800,104.76,03-03-12
1709438400,95.93,03-03-13
1709442000,95.93,03-03-14
1709445600,95.68,03-03-15
1709449200,95.7,03-03-16
1709452800,250.09,03-03-17
1709456400,137.03,03-03-18
1709460000,169.72,03-03-19
1709463600,170.95,03-03-20
1709467200,171.26,03-03-21
1709470800,175.61,03-03-22
1709474400,175.61,03-03-23
1709478000,170.79,03-04-00
1709481600,168.3,03-04-01
1709485200,86.82,03-04-02
1709488800,80.97,03-04-03
1709492400,80.97,03-04-04
1709496000,80.97,03-04-05
1709499600,81.81,03-04-06
1709503200,166.81,03-04-07
1709506800,309.13,03-04-08
1709510400,173.82,03-04-09
1709514000,175.21,03-04-10
1709517600,167.28,03-04-11
1709521200,167.28,03-04-12
1709524800,146.22,03-04-13
1709528400,150.25,03-04-14
1709532000,149.63,03-04-15
1709535600,167.0,03-04-16
1709539200,167.0,03-04-17
1709542800,169.11,03-04-18
1709546400,167.17,03-04-19
1709550000,313.62,03-04-20
1709553600,169.85,03-04-21
1709557200,255.37,03-04-22
1709560800,137.23,03-04-23
1709564400,107.12,03-05-00
1709568000,100.13,03-05-01
1709571600,94.8,03-05-02
1709575200,94.8,03-05-03
1709578800,94.8,03-05-04
1709582400,94.8,03-05-05
1709586000,94.8,03-05-06
1709589600,105.85,03-05-07
1709593200,107.38,03-05-08
1709596800,226.38,03-05-09
1709600400,230.01,03-05-10
1709604000,226.38,03-05-11
1709607600,230.01,03-05-12
1709611200,146.27,03-05-13
1709614800,170.63,03-05-14
1709618400,162.57,03-05-15
1709622000,167.0,03-05-16
1709625600,162.57,03-05-17
1709629200,153.8,03-05-18
1709632800,153.56,03-05-19
1709636400,148.78,03-05-20
1709640000,153.56,03-05-21
1709643600,175.87,03-05-22
1709647200,131.23,03-05-23
1709650800,131.19,03-06-00
1709654400,164.31,03-06-01
1709658000,164.31,03-06-02
1709661600,164.31,03-06-03
1709665200,164.31,03-06-04
1709668800,164.31,03-06-05
1709672400,164.31,03-06-06
1709676000,164.31,03-06-07
1709679600,164.31,03-06-08
1709683200,171.11,03-06-09
1709686800,172.44,03-06-10
1709690400,165.47,03-06-11
1709694000,165.47,03-06-12
1709697600,163.86,03-06-13
1709701200,163.86,03-06-14
1709704800,163.86,03-06-15
1709708400,163.86,03-06-16
1709712000,163.86,03-06-17
1709715600,163.86,03-06-18
1709719200,164.31,03-06-19
1709722800,164.31,03-06-20
1709726400,164.31,03-06-21
1709730000,164.31,03-06-22
1709733600,164.31,03-06-23
1709737200,164.31,03-07-00
