timestamp,price_tmp,price_fir,date
1709218800,95.3,95.3,03-01:0000
1709222400,107.39,107.39,03-01:0100
1709226000,95.3,95.3,03-01:0200
1709229600,87.89,87.89,03-01:0300
1709233200,86.5,86.5,03-01:0400
1709236800,88.78,88.78,03-01:0500
1709240400,100.21,100.21,03-01:0600
1709244000,111.4,111.4,03-01:0700
1709247600,111.4,111.4,03-01:0800
1709251200,111.67,111.67,03-01:0900
1709254800,109.57,109.57,03-01:1000
1709258400,-73.88,-73.88,03-01:1100
1709262000,-73.88,-73.88,03-01:1200
1709265600,0.0,0.0,03-01:1300
1709269200,95.91,95.91,03-01:1400
1709272800,95.91,95.91,03-01:1500
1709276400,98.25,98.25,03-01:1600
1709280000,100.21,100.21,03-01:1700
1709283600,128.34,128.34,03-01:1800
1709287200,174.45,174.45,03-01:1900
1709290800,109.83,109.83,03-01:2000
1709294400,174.59,174.59,03-01:2100
1709298000,110.35,110.35,03-01:2200
1709301600,173.94,173.94,03-01:2300
1709305200,112.19,112.19,03-02:0000
1709308800,100.28,100.28,03-02:0100
1709312400,167.66,136.89,03-02:0200
1709316000,165.95,136.72,03-02:0300
1709319600,91.24,91.24,03-02:0400
1709323200,91.24,91.24,03-02:0500
1709326800,95.38,95.38,03-02:0600
1709330400,99.48,99.48,03-02:0700
1709334000,102.02,102.02,03-02:0800
1709337600,101.85,101.85,03-02:0900
1709341200,104.14,104.14,03-02:1000
1709344800,100.76,100.76,03-02:1100
1709348400,-19.0,-19.0,03-02:1200
1709352000,-73.65,-73.65,03-02:1300
1709355600,0.0,0.0,03-02:1400
1709359200,-73.65,-73.65,03-02:1500
1709362800,100.55,100.55,03-02:1600
1709366400,99.48,99.48,03-02:1700
1709370000,100.55,100.55,03-02:1800
1709373600,325.8,310.58,03-02:1900
1709377200,330.56,314.82,03-02:2000
1709380800,329.28,314.82,03-02:2100
1709384400,325.74,311.94,03-02:2200
1709388000,169.69,170.61,03-02:2300
1709391600,169.3,140.94,03-03:0000
1709395200,166.05,165.51,03-03:0100
1709398800,100.21,100.21,03-03:0200
1709402400,82.66,82.66,03-03:0300
1709406000,175.18,140.13,03-03:0400
1709409600,82.66,82.66,03-03:0500
1709413200,99.15,99.15,03-03:0600
1709416800,105.8,105.8,03-03:0700
1709420400,107.39,107.39,03-03:0800
1709424000,95.99,95.99,03-03:0900
1709427600,107.39,107.39,03-03:1000
1709431200,100.21,100.21,03-03:1100
1709434800,0.0,0.0,03-03:1200
1709438400,95.93,95.93,03-03:1300
1709442000,-19.0,-19.0,03-03:1400
1709445600,95.68,95.68,03-03:1500
1709449200,95.7,95.7,03-03:1600
1709452800,95.94,95.94,03-03:1700
1709456400,96.31,96.31,03-03:1800
1709460000,168.18,136.96,03-03:1900
1709463600,169.16,140.08,03-03:2000
1709467200,322.97,248.04,03-03:2100
1709470800,171.99,169.12,03-03:2200
1709474400,169.12,169.12,03-03:2300
1709478000,169.12,141.95,03-04:0000
1709481600,165.08,163.39,03-04:0100
1709485200,86.82,86.82,03-04:0200
1709488800,80.97,80.97,03-04:0300
1709492400,80.97,80.97,03-04:0400
1709496000,80.97,80.97,03-04:0500
1709499600,164.72,163.81,03-04:0600
1709503200,172.59,172.6,03-04:0700
1709506800,170.66,170.65,03-04:0800
1709510400,173.82,173.82,03-04:0900
1709514000,175.21,175.21,03-04:1000
1709517600,160.61,160.61,03-04:1100
1709521200,154.06,154.06,03-04:1200
1709524800,-19.0,-19.0,03-04:1300
1709528400,150.25,150.25,03-04:1400
1709532000,149.63,149.63,03-04:1500
1709535600,149.63,149.63,03-04:1600
1709539200,169.0,171.66,03-04:1700
1709542800,174.67,172.15,03-04:1800
1709546400,174.76,172.46,03-04:1900
1709550000,174.76,172.64,03-04:2000
1709553600,174.67,172.33,03-04:2100
1709557200,131.05,131.05,03-04:2200
1709560800,107.12,107.12,03-04:2300
1709564400,107.12,107.12,03-05:0000
1709568000,250.03,250.03,03-05:0100
1709571600,94.8,94.8,03-05:0200
1709575200,94.8,94.8,03-05:0300
1709578800,94.8,94.8,03-05:0400
1709582400,94.8,94.8,03-05:0500
1709586000,94.8,94.8,03-05:0600
1709589600,105.85,105.85,03-05:0700
1709593200,165.63,170.79,03-05:0800
1709596800,167.73,167.29,03-05:0900
1709600400,177.25,177.25,03-05:1000
1709604000,165.11,164.83,03-05:1100
1709607600,165.11,164.83,03-05:1200
1709611200,162.44,162.15,03-05:1300
1709614800,168.76,164.83,03-05:1400
1709618400,157.4,157.4,03-05:1500
1709622000,162.57,162.57,03-05:1600
1709625600,157.31,157.2,03-05:1700
1709629200,170.17,169.35,03-05:1800
1709632800,170.17,169.35,03-05:1900
1709636400,170.38,170.38,03-05:2000
1709640000,170.56,170.56,03-05:2100
1709643600,170.56,170.56,03-05:2200
1709647200,131.23,131.23,03-05:2300
1709650800,131.19,131.19,03-06:0000
1709654400,107.38,107.38,03-06:0100
1709658000,95.03,95.03,03-06:0200
1709661600,94.64,94.64,03-06:0300
1709665200,94.64,94.64,03-06:0400
1709668800,94.36,94.36,03-06:0500
1709672400,94.73,94.73,03-06:0600
1709676000,108.17,108.17,03-06:0700
1709679600,165.77,169.47,03-06:0800
1709683200,171.11,171.2,03-06:0900
1709686800,172.44,172.44,03-06:1000
1709690400,169.55,169.95,03-06:1100
1709694000,168.75,169.73,03-06:1200
1709697600,162.72,164.51,03-06:1300
1709701200,169.27,170.74,03-06:1400
1709704800,167.37,167.91,03-06:1500
1709708400,167.05,167.22,03-06:1600
1709712000,167.05,167.22,03-06:1700
1709715600,167.05,167.22,03-06:1800
1709719200,167.05,167.22,03-06:1900
1709722800,167.05,167.22,03-06:2000
1709726400,167.05,167.22,03-06:2100
1709730000,167.05,167.22,03-06:2200
1709733600,167.22,167.22,03-06:2300
1709737200,152.35,152.35,03-07:0000
1709740800,107.31,107.31,03-07:0100
1709744400,94.48,94.48,03-07:0200
1709748000,90.83,90.83,03-07:0300
1709751600,90.83,90.83,03-07:0400
1709755200,90.83,90.83,03-07:0500
1709758800,0.0,0.0,03-07:0600
1709762400,108.17,108.17,03-07:0700
1709766000,108.69,108.69,03-07:0800
1709769600,178.73,176.93,03-07:0900
